time,symbol,side,price,volume,commission,pnl,tags
2025-11-19 03:15:00,rb888,sell,3085.0,1,3.085,-10.0,close
2025-11-20 05:30:00,rb888,buy,3071.0,1,3.071,0.0,
2025-11-20 06:00:00,rb888,sell,3051.0,1,3.051,-20.0,close
2025-11-20 13:00:00,rb888,buy,3068.0,1,3.068,0.0,
2025-11-21 01:45:00,rb888,sell,3055.0,1,3.055,-13.0,close
2025-11-21 02:00:00,rb888,sell,3053.0,1,3.053,0.0,
2025-11-21 05:45:00,rb888,buy,3062.0,1,3.0620000000000003,-9.0,close
2025-11-24 01:45:00,rb888,buy,3081.0,1,3.081,0.0,
2025-11-24 06:00:00,rb888,sell,3096.0,1,3.096,15.0,close
2025-11-24 06:15:00,rb888,buy,3108.0,1,3.108,0.0,
2025-11-24 06:45:00,rb888,sell,3088.0,1,3.088,-20.0,close
2025-11-25 01:00:00,rb888,buy,3099.0,1,3.099,0.0,
2025-11-26 01:15:00,rb888,sell,3087.0,1,3.087,-12.0,close
2025-11-26 05:45:00,rb888,buy,3101.0,1,3.101,0.0,
2025-11-26 13:00:00,rb888,sell,3088.0,1,3.088,-13.0,close
2025-11-27 05:30:00,rb888,buy,3093.0,1,3.093,0.0,
2025-11-27 13:00:00,rb888,sell,3088.0,1,3.088,-5.0,close
2025-11-27 14:30:00,rb888,sell,3086.0,1,3.0860000000000003,0.0,
2025-11-28 01:00:00,rb888,buy,3096.0,1,3.096,-10.0,close
2025-11-28 14:45:00,rb888,buy,3125.0,1,3.125,0.0,
2025-12-02 01:30:00,rb888,sell,3135.0,1,3.1350000000000002,10.0,close
2025-12-02 02:30:00,rb888,buy,3142.0,1,3.1420000000000003,0.0,
2025-12-02 05:30:00,rb888,sell,3131.0,1,3.1310000000000002,-11.0,close
2025-12-03 01:30:00,rb888,buy,3171.0,1,3.1710000000000003,0.0,
2025-12-03 06:15:00,rb888,sell,3158.0,1,3.1580000000000004,-13.0,close
2025-12-03 13:00:00,rb888,sell,3152.0,1,3.152,0.0,
2025-12-04 01:00:00,rb888,buy,3157.0,1,3.157,-5.0,close
2025-12-04 01:45:00,rb888,buy,3160.0,1,3.16,0.0,
2025-12-04 13:00:00,rb888,sell,3168.0,1,3.168,8.0,close
2025-12-05 01:00:00,rb888,sell,3163.0,1,3.1630000000000003,0.0,
2025-12-05 13:00:00,rb888,buy,3157.0,1,3.157,6.0,close
2025-12-09 01:00:00,rb888,sell,3088.0,1,3.088,0.0,
2025-12-10 02:30:00,rb888,buy,3103.0,1,3.103,-15.0,close
2025-12-10 02:45:00,rb888,buy,3114.0,1,3.1140000000000003,0.0,
2025-12-10 05:30:00,rb888,sell,3111.0,1,3.111,-3.0,close
2025-12-11 01:00:00,rb888,sell,3093.0,1,3.093,0.0,
2025-12-11 02:30:00,rb888,buy,3108.0,1,3.108,-15.0,close
2025-12-11 13:15:00,rb888,sell,3070.0,1,3.0700000000000003,0.0,
2025-12-12 13:00:00,rb888,buy,3047.0,1,3.047,23.0,close
2025-12-12 14:45:00,rb888,buy,3070.0,1,3.0700000000000003,0.0,
2025-12-17 13:00:00,rb888,sell,3084.0,1,3.084,14.0,close
2025-12-17 13:15:00,rb888,buy,3129.0,1,3.129,0.0,
2025-12-18 05:30:00,rb888,sell,3117.0,1,3.117,-12.0,close
2025-12-18 05:45:00,rb888,buy,3122.0,1,3.1220000000000003,0.0,
2025-12-18 13:00:00,rb888,sell,3113.0,1,3.113,-9.0,close
2025-12-19 01:30:00,rb888,buy,3119.0,1,3.119,0.0,
2025-12-19 03:00:00,rb888,sell,3110.0,1,3.1100000000000003,-9.0,close
2025-12-22 01:00:00,rb888,buy,3128.0,1,3.128,0.0,
2025-12-23 13:00:00,rb888,sell,3112.0,1,3.112,-16.0,close
2025-12-24 01:45:00,rb888,buy,3129.0,1,3.129,0.0,
2025-12-25 13:00:00,rb888,sell,3123.0,1,3.123,-6.0,close
2025-12-26 06:15:00,rb888,buy,3116.0,1,3.116,0.0,
2025-12-26 13:00:00,rb888,sell,3118.0,1,3.1180000000000003,2.0,close
2025-12-26 13:15:00,rb888,buy,3140.0,1,3.14,0.0,
2025-12-31 01:45:00,rb888,sell,3121.0,1,3.121,-19.0,close
2026-01-06 05:30:00,rb888,buy,3099.0,1,3.099,0.0,
2026-01-06 06:30:00,rb888,sell,3100.0,1,3.1,1.0,close
2026-01-06 14:00:00,rb888,buy,3141.0,1,3.141,0.0,
2026-01-07 03:15:00,rb888,sell,3153.0,1,3.153,12.0,close
2026-01-07 05:45:00,rb888,buy,3170.0,1,3.1700000000000004,0.0,
2026-01-07 14:00:00,rb888,sell,3192.0,1,3.192,22.0,close
2026-01-08 02:45:00,rb888,sell,3179.0,1,3.1790000000000003,0.0,
2026-01-08 13:15:00,rb888,buy,3163.0,1,3.1630000000000003,16.0,close
2026-01-09 02:45:00,rb888,buy,3152.0,1,3.152,0.0,
2026-01-09 03:15:00,rb888,sell,3140.0,1,3.14,-12.0,close
2026-01-09 06:00:00,rb888,buy,3148.0,1,3.148,0.0,
2026-01-12 01:15:00,rb888,sell,3162.0,1,3.1620000000000004,14.0,close
2026-01-12 06:15:00,rb888,buy,3172.0,1,3.172,0.0,
2026-01-12 06:45:00,rb888,sell,3162.0,1,3.1620000000000004,-10.0,close
2026-01-13 01:15:00,rb888,buy,3166.0,1,3.1660000000000004,0.0,
2026-01-13 06:30:00,rb888,sell,3156.0,1,3.156,-10.0,close
